gene_id	n_AG	n_GA	mean_alt_ratio_AG	mean_alt_ratio_GA	beta_GA_vs_AG	p_value	q_value	gene_name	gene_product
gene-LOC105317356	9	8	0.491492776886035	0.481155163974547	-0.0413828902422588	0.506229951029738	0.839342119837605	LOC105317356	uncharacterized LOC105317356
gene-LOC105317360	7	8	0.495101241018942	0.491475602586714	-0.0145052309021277	0.868699355002155	0.967861231435219	LOC105317360	ras-GEF domain-containing family member 1B
gene-LOC105317365	9	9	0.475668129238133	0.462139917695473	-0.0543263374783391	0.350083306623569	0.755556429017195	LOC105317365	dynein axonemal heavy chain 3
gene-LOC105317368	9	9	0.46682004781883	0.45561856752783	-0.0450790373280877	0.431864550818388	0.810703946427534	LOC105317368	uncharacterized LOC105317368
gene-LOC105317369	8	3	0.499937562437563	0.581623550401427	0.329691543731422	0.162825934825177	0.604177251520621	LOC105317369	UPAR/Ly6 domain-containing protein crok
gene-LOC105317392	7	7	0.512261580381471	0.441102756892231	-0.285743933410442	0.135907161839658	0.576208153135338	LOC105317392	p53 and DNA damage-regulated protein 1
gene-LOC105317393	6	9	0.504395604395604	0.492831541218638	-0.0462586705345327	0.825997398601314	0.956318077471835	LOC105317393	peroxisomal membrane protein PEX14
gene-LOC105317394	6	8	0.475409836065574	0.447544983226593	-0.112154885819627	0.323692633998226	0.745732345063	LOC105317394	cell division cycle-associated protein 3
gene-LOC105317395	8	9	0.507921714818267	0.447987851176917	-0.240493451590265	0.0833290658333305	0.513662970608015	LOC105317395	ubiquitin carboxyl-terminal hydrolase 5
gene-LOC105317396	8	9	0.490952955367913	0.448767833981842	-0.169458265273276	0.144276900956171	0.586834793319338	LOC105317396	uncharacterized LOC105317396
gene-LOC105317397	8	6	0.380032867707477	0.502747252747253	0.500397842829978	0.0092119040857435	0.28500414574713	LOC105317397	dynactin subunit 2
gene-LOC105317400	7	9	0.357321339330335	0.289697381842911	-0.309844872623693	0.0750019485966288	0.498834181108366	LOC105317400	signal recognition particle 14 kDa protein
gene-LOC105317402	4	8	0.486494051784465	0.458923303834808	-0.110640996174777	0.0309725407402477	0.383299801349593	LOC105317402	ubiquitin-conjugating enzyme E2 2
gene-LOC105317404	6	7	0.460829493087558	0.467857142857143	0.0282547660654374	0.859924160681812	0.966036878326562	LOC105317404	sodium-coupled monocarboxylate transporter 1
gene-LOC105317408	9	9	0.493364558938329	0.452354874041621	-0.164617182903926	0.072348863825378	0.49073029765321	LOC105317408	SUMO-activating enzyme subunit 1
gene-LOC105317409	9	9	0.471794871794872	0.449796472184532	-0.0885526527488111	0.528379529538948	0.850890964415151	LOC105317409	zinc finger CCCH domain-containing protein 14
gene-LOC105317410	9	8	0.555160142348754	0.53594905505341	-0.0774975012785108	0.327416141676291	0.746704615178997	LOC105317410	hypothetical protein
gene-LOC105317439	8	8	0.520804438280166	0.475306479859895	-0.182120332238761	0.056829890637845	0.466153312335404	LOC105317439	deoxyribose-phosphate aldolase
gene-LOC105317444	8	3	0.352270413357768	0.290537724051688	-0.283699694127227	0.0580837958609184	0.468152492545817	LOC105317444	uncharacterized LOC105317444
gene-LOC105317448	6	9	0.471663619744059	0.380270485282419	-0.374933210188008	0.036506031517301	0.406524721089945	LOC105317448	tRNA (32-2'-O)-methyltransferase regulator THADA
gene-LOC105317469	9	7	0.463705308775731	0.474198047419805	0.0421349971495764	0.811902595746149	0.951856812289695	LOC105317469	zinc finger CCHC domain-containing protein 8
gene-LOC105317472	9	9	0.471283229405973	0.493798449612403	0.0901861598645287	0.55159954101497	0.857219192063365	LOC105317472	phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform
gene-LOC105317473	9	9	0.468992248062016	0.457875457875458	-0.0447081562304194	0.72711695798436	0.926770331795456	LOC105317473	protein expanded
gene-LOC105317477	6	6	0.47008547008547	0.37914691943128	-0.373369488714648	0.338569469707083	0.751002777544344	LOC105317477	protein HGH1 homolog
gene-LOC105317478	9	8	0.482848458532349	0.478894858019954	-0.0158376646444963	0.893003401921641	0.974855195090822	LOC105317478	replication factor C subunit 2
gene-LOC105317479	6	5	0.418439716312057	0.516129032258065	0.393720324473002	0.278663385778002	0.717328550752713	LOC105317479	coiled-coil domain-containing protein 74B
gene-LOC105317480	8	3	0.471751412429379	0.494047619047619	0.089304155744113	0.587534621689921	0.868798305195719	LOC105317480	probable ATP-dependent RNA helicase DHX37
gene-LOC105317482	4	0						LOC105317482	vacuolar protein sorting-associated protein 53 homolog
gene-LOC105317489	7	5	0.573033707865169	0.491712707182321	-0.327391680225975	0.290785928822719	0.725536819799129	LOC105317489	vitellogenin-2
gene-LOC105317492	7	4	0.507676560900717	0.548	0.161884450496617	0.336872260686178	0.751002777544344	LOC105317492	KRR1 small subunit processome component homolog
gene-LOC105317497	9	9	0.456773315180395	0.48443579766537	0.111062530956577	0.359218748491747	0.760433022088834	LOC105317497	dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
gene-LOC105317498	9	7	0.482527257478334	0.481132075471698	-0.005588111578021	0.966027355259279	0.993403639931008	LOC105317498	uncharacterized LOC105317498
gene-LOC105317500	9	9	0.475559237779619	0.484823625922888	0.0371168767622915	0.822490361082828	0.955312802721718	LOC105317500	uridine 5'-monophosphate synthase
gene-LOC105317502	8	9	0.497005988023952	0.5058568329718	0.0354045945099714	0.711252590227126	0.919483972414416	LOC105317502	DNA-directed RNA polymerase II subunit RPB4
gene-LOC105317504	8	9	0.452188458321717	0.388584606514846	-0.261433373464672	0.148644827598672	0.592770909513076	LOC105317504	uncharacterized LOC105317504
gene-LOC105317505	9	9	0.466308312535995	0.456512332323669	-0.0394200234354668	0.665839960017065	0.90262968159578	LOC105317505	UPAR/Ly6 domain-containing protein crim
gene-LOC105317506	8	9	0.483267379940398	0.483444691907944	0.000710034657234918	0.986635150322632	0.998919629084547	LOC105317506	small ribosomal subunit protein uS17
gene-LOC105317516	8	8	0.51010101010101	0.468164794007491	-0.16792285863664	0.272782149881052	0.711415718641533	LOC105317516	serine-protein kinase ATM
gene-LOC105317526	8	9	0.40658929239985	0.4189453125	0.0509786991626402	0.775595745203396	0.940371751526568	LOC105317526	kelch domain-containing protein 10
gene-LOC105317539	6	1						LOC105317539	uncharacterized LOC105317539
gene-LOC105317545	9	9	0.445643013652452	0.46944603083952	0.0959223014598215	0.11570238156293	0.55899687253878	LOC105317545	C-myc promoter-binding protein
gene-LOC105317549	6	3	0.461538461538462	0.431372549019608	-0.122102696800887	0.514501318390091	0.843864502955891	LOC105317549	cotranscriptional regulator ARB2A
gene-LOC105317550	6	3	0.511494252873563	0.507042253521127	-0.0178142362751252	0.938217025494154	0.986923616171789	LOC105317550	mitogen-activated protein kinase kinase kinase 11
gene-LOC105317552	4	6	0.430132993259246	0.32657926102503	-0.442389060178666	0.324909158964619	0.746176181249627	LOC105317552	uncharacterized LOC105317552
gene-LOC105317556	9	9	0.472853384357809	0.46020646020646	-0.0508181703058723	0.454783507771872	0.820675678866797	LOC105317556	protein AF-9
gene-LOC105317557	6	8	0.331168831168831	0.531818181818182	0.830348301803152	0.00726287269122084	0.274022476088135	LOC105317557	protein phosphatase 1 regulatory subunit 27
gene-LOC105317560	9	9	0.439834024896266	0.478571428571429	0.15606886256772	0.330850193320432	0.749330526144228	LOC105317560	uncharacterized LOC105317560
gene-LOC105317563	9	7	0.404975812024879	0.403399892066919	-0.00654398042765358	0.974502355921574	0.994624098642085	LOC105317563	origin recognition complex subunit 5
gene-LOC105317568	9	9	0.552972731336612	0.513397642015005	-0.159085694040717	0.353311061170187	0.756250080953789	LOC105317568	Golgi phosphoprotein 3 homolog sauron
gene-LOC105317570	8	8	0.47832939322301	0.490666666666667	0.0493990944398659	0.629957550319358	0.888701818438932	LOC105317570	centromere/kinetochore protein zw10 homolog
