gene	ePST	epst_class
ORTHO_000165	0.336183970484128	Strong divergence
ORTHO_000166	0.0633137265462477	Weak differentiation
ORTHO_000167	0.106159730592722	Weak differentiation
ORTHO_000168	0.0452673121553731	Mostly plastic / shared regulation
ORTHO_000169	0.130350012216409	Regulatory divergence
ORTHO_000170	0.0310587984124217	Mostly plastic / shared regulation
ORTHO_000171	0.147843913679135	Regulatory divergence
ORTHO_000172	0.0649466482219746	Weak differentiation
ORTHO_000173	0.101588635284014	Weak differentiation
ORTHO_000174	0.0415504088192599	Mostly plastic / shared regulation
ORTHO_000175	0.0572439867867228	Weak differentiation
ORTHO_000176	0.0277979073902335	Mostly plastic / shared regulation
ORTHO_000177	0.122705680302069	Regulatory divergence
ORTHO_000178	0.0244741804739107	Mostly plastic / shared regulation
ORTHO_000179	0.0719824068875968	Weak differentiation
ORTHO_000180	0.0509670639520605	Weak differentiation
ORTHO_000181	0.0760588041634575	Weak differentiation
ORTHO_000182	0.123047795118191	Regulatory divergence
ORTHO_000183	0.0131241362633813	Mostly plastic / shared regulation
ORTHO_000184	0.0348230923945548	Mostly plastic / shared regulation
ORTHO_000185	0.704096155997379	Strong divergence
ORTHO_000187	0.262233258392044	Regulatory divergence
ORTHO_000188	0.344509856564942	Strong divergence
ORTHO_000189	0.618655598109333	Strong divergence
ORTHO_000190	0.0506892691858896	Weak differentiation
ORTHO_000191	0.0374377159746158	Mostly plastic / shared regulation
ORTHO_000192	0.0469016211724195	Mostly plastic / shared regulation
ORTHO_000193	0.095225195741808	Weak differentiation
ORTHO_000194	0.0220481682577022	Mostly plastic / shared regulation
ORTHO_000195	0.0617197713515179	Weak differentiation
ORTHO_000196	0.0180373085691246	Mostly plastic / shared regulation
ORTHO_000197	0.212841161152206	Regulatory divergence
ORTHO_000198	0.0684683465495148	Weak differentiation
ORTHO_000199	0.251364719531966	Regulatory divergence
ORTHO_000200	0.000259655443215364	Mostly plastic / shared regulation
ORTHO_000201	0.298180377992563	Regulatory divergence
ORTHO_000202	4.66340336684617e-08	Mostly plastic / shared regulation
ORTHO_000203	0.146552269397989	Regulatory divergence
ORTHO_000204	0.0447525204449619	Mostly plastic / shared regulation
ORTHO_000205	0.00296785531607371	Mostly plastic / shared regulation
ORTHO_000206	0.000106882980234034	Mostly plastic / shared regulation
ORTHO_000207	0.295949345205986	Regulatory divergence
ORTHO_000208	0.0244631878231674	Mostly plastic / shared regulation
ORTHO_000209	0.224599404731952	Regulatory divergence
ORTHO_000210	0.240828995772558	Regulatory divergence
ORTHO_000211	0.00945904972803164	Mostly plastic / shared regulation
ORTHO_000212	0.167875823685649	Regulatory divergence
ORTHO_000213	0.156506877722657	Regulatory divergence
ORTHO_000214	0.189040842897611	Regulatory divergence
ORTHO_000215	0.227690947011185	Regulatory divergence
ORTHO_000216	0.308664990746917	Strong divergence
ORTHO_000217	0.226730106146999	Regulatory divergence
ORTHO_000218	0.551388270971367	Strong divergence
ORTHO_000219	0.0824531122428378	Weak differentiation
ORTHO_000220	0.0750481280756425	Weak differentiation
ORTHO_000221	0.397010602447882	Strong divergence
ORTHO_000222	0.200636306942929	Regulatory divergence
ORTHO_000223	0.0912712319104018	Weak differentiation
ORTHO_000224	0.592055663614539	Strong divergence
ORTHO_000225	0.0575373874279818	Weak differentiation
ORTHO_000226	0.377533850528113	Strong divergence
ORTHO_000227	0.135782061969171	Regulatory divergence
ORTHO_000228	0.0543653718204412	Weak differentiation
ORTHO_000229	0.00637754369595087	Mostly plastic / shared regulation
ORTHO_000230	0.197052852923568	Regulatory divergence
ORTHO_000231	0.0365155584670379	Mostly plastic / shared regulation
ORTHO_000232	0.179955808061477	Regulatory divergence
ORTHO_000233	0.0230454634767794	Mostly plastic / shared regulation
ORTHO_000234	0.0634554455794215	Weak differentiation
ORTHO_000235	0.134101365036563	Regulatory divergence
ORTHO_000236	0.0245493988681726	Mostly plastic / shared regulation
ORTHO_000237	0.0671568571342485	Weak differentiation
ORTHO_000238	0.502415185538313	Strong divergence
ORTHO_000239	0.00131698897201884	Mostly plastic / shared regulation
ORTHO_000240	0.0958149317327862	Weak differentiation
ORTHO_000241	0.0236196300762774	Mostly plastic / shared regulation
ORTHO_000242	0.0031148239410154	Mostly plastic / shared regulation
ORTHO_000243	0.0100132133484553	Mostly plastic / shared regulation
ORTHO_000244	0.0521853009853524	Weak differentiation
ORTHO_000245	0.223914566882299	Regulatory divergence
ORTHO_000246	0.214812317337318	Regulatory divergence
ORTHO_000247	0.697759450831768	Strong divergence
ORTHO_000248	0.60853266345551	Strong divergence
ORTHO_000249	0.143779352548518	Regulatory divergence
ORTHO_000250	0.048704381185368	Mostly plastic / shared regulation
ORTHO_000251	0.29851914682551	Regulatory divergence
ORTHO_000252	0.0123332609874194	Mostly plastic / shared regulation
ORTHO_000253	0.412944519178375	Strong divergence
ORTHO_000254	0.468439924699476	Strong divergence
ORTHO_000255	0.444733871723629	Strong divergence
ORTHO_000256	0.166880315062529	Regulatory divergence
ORTHO_000257	0.0245020130793792	Mostly plastic / shared regulation
ORTHO_000258	0.0472972537535142	Mostly plastic / shared regulation
ORTHO_000259	0.0232183438502848	Mostly plastic / shared regulation
ORTHO_000260	0.0299613792058423	Mostly plastic / shared regulation
ORTHO_000261	0.0113836602954663	Mostly plastic / shared regulation
ORTHO_000262	0.104254330028398	Weak differentiation
ORTHO_000263	0.106727075132845	Weak differentiation
ORTHO_000264	0.00257725689368121	Mostly plastic / shared regulation
ORTHO_000265	0.177990242939724	Regulatory divergence
ORTHO_000266	0.0470834146973677	Mostly plastic / shared regulation
ORTHO_000267	0.0935029978045521	Weak differentiation
ORTHO_000268	0.00503883136374561	Mostly plastic / shared regulation
ORTHO_000269	0.0326452318333562	Mostly plastic / shared regulation
ORTHO_000270	0.107813176828339	Weak differentiation
ORTHO_000271	0.371062681943199	Strong divergence
ORTHO_000272	0.100910936515094	Weak differentiation
ORTHO_000273	0.511702589978736	Strong divergence
ORTHO_000274	0.075843191712511	Weak differentiation
ORTHO_000275	0.00934039111486836	Mostly plastic / shared regulation
ORTHO_000276	0.414302680989334	Strong divergence
ORTHO_000277	0.415313173562213	Strong divergence
ORTHO_000278	0.319041573289925	Strong divergence
ORTHO_000279	0.203141877804464	Regulatory divergence
ORTHO_000280	0.462582259691708	Strong divergence
ORTHO_000281	0.321794580539323	Strong divergence
ORTHO_000282	0.182953342235255	Regulatory divergence
ORTHO_000283	0.014718371792322	Mostly plastic / shared regulation
ORTHO_000284	0.00786675269155539	Mostly plastic / shared regulation
ORTHO_000285	0.00897941040238676	Mostly plastic / shared regulation
ORTHO_000286	0.0856926184452561	Weak differentiation
ORTHO_000287	0.365773539692012	Strong divergence
ORTHO_000288	0.245407167578282	Regulatory divergence
ORTHO_000289	0.376096647991906	Strong divergence
ORTHO_000290	0.253172082453716	Regulatory divergence
ORTHO_000291	0.00984450785964343	Mostly plastic / shared regulation
ORTHO_000292	2.77742318633348e-08	Mostly plastic / shared regulation
ORTHO_000293	0.125504694734856	Regulatory divergence
ORTHO_000294	0.373157238918454	Strong divergence
ORTHO_000295	0.00951124502933452	Mostly plastic / shared regulation
ORTHO_000296	0.389262683691675	Strong divergence
ORTHO_000297	0.0082063016192501	Mostly plastic / shared regulation
ORTHO_000298	0.101522338016311	Weak differentiation
ORTHO_000299	0.127097068793028	Regulatory divergence
ORTHO_000300	0.0356167836173332	Mostly plastic / shared regulation
ORTHO_000301	0.0535278154110127	Weak differentiation
ORTHO_000302	0.35342860726332	Strong divergence
ORTHO_000303	0.00398986964492022	Mostly plastic / shared regulation
ORTHO_000304	0.240442522412096	Regulatory divergence
ORTHO_000305	0.399133569477672	Strong divergence
ORTHO_000306	0.342845151743867	Strong divergence
ORTHO_000307	0.311744054998826	Strong divergence
ORTHO_000308	0.126411031624323	Regulatory divergence
ORTHO_000309	0.116910711284875	Weak differentiation
ORTHO_000310	0.109815452493993	Weak differentiation
ORTHO_000311	0.203326328563049	Regulatory divergence
ORTHO_000312	0.261775411129755	Regulatory divergence
ORTHO_000313	0.095092624879456	Weak differentiation
ORTHO_000314	0.000986447823368363	Mostly plastic / shared regulation
ORTHO_000315	0.0648519399426089	Weak differentiation
ORTHO_000316	0.22912801200192	Regulatory divergence
